date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-07-28,00687B,19020523,496372384,25.79,25.85,25.78,25.82,0.04,2660
2025-07-29,00687B,38880316,1018369080,25.87,25.97,25.85,25.94,0.12,3380
2025-07-30,00687B,47394349,1259966987,26.25,26.35,26.24,26.32,0.38,5447
2025-07-31,00687B,44148445,1178801884,26.28,26.47,26.28,26.46,0.14,4740
2025-08-01,00687B,28724900,767006868,26.42,26.5,26.37,26.39,-0.07,4140
2025-08-04,00687B,49938807,1336519997,26.52,26.56,26.43,26.49,0.1,3909
2025-08-05,00687B,36264949,983805582,26.78,26.87,26.78,26.82,0.33,5868
2025-08-06,00687B,25209082,684634837,26.84,26.89,26.83,26.87,0.05,3879
2025-08-07,00687B,45980990,1238595525,26.78,26.78,26.57,26.63,-0.24,7613
2025-08-08,00687B,17717006,477716534,26.65,26.7,26.63,26.7,0.07,2346
2025-08-11,00687B,15712760,422852358,26.61,26.64,26.59,26.63,-0.07,3182
2025-08-12,00687B,13708536,369068959,26.64,26.66,26.6,26.66,0.03,2523
2025-08-13,00687B,26310487,706216724,26.52,26.62,26.48,26.6,-0.06,4329
2025-08-14,00687B,23670764,640116804,26.76,26.78,26.72,26.73,0.13,3477
2025-08-15,00687B,20368726,549481258,26.69,26.72,26.66,26.7,-0.03,3331
2025-08-18,00687B,26333516,705058929,26.49,26.51,26.47,26.48,-0.22,6189
2025-08-19,00687B,18409556,491671418,26.42,26.46,26.41,26.41,-0.07,4608
2025-08-20,00687B,39162801,1055554105,26.58,26.72,26.58,26.65,0.24,8505
2025-08-21,00687B,21054270,571951899,26.75,26.96,26.75,26.93,0.28,3926
2025-08-22,00687B,29234348,797106038,26.92,27.06,26.89,26.95,0.02,4234
2025-08-25,00687B,24568727,669023724,26.97,27.01,26.9,26.92,-0.03,5144
2025-08-26,00687B,36519768,990178840,26.81,26.9,26.78,26.8,-0.12,4117
2025-08-27,00687B,17187954,468018861,26.93,26.97,26.92,26.93,0.13,2436
2025-08-28,00687B,26198303,714421068,26.98,27.03,26.94,26.99,0.06,2451
2025-08-29,00687B,39611585,1084868521,27.08,27.14,27.05,27.06,0.07,3242
2025-09-01,00687B,21846005,594751086,26.92,26.98,26.89,26.91,-0.15,3544
2025-09-02,00687B,21212522,576883892,26.85,26.95,26.85,26.93,0.02,2509
2025-09-03,00687B,20795340,564676342,26.88,26.91,26.82,26.82,-0.11,3686
2025-09-04,00687B,36459589,1000136897,27.2,27.22,27.12,27.17,0.35,3321
2025-09-05,00687B,25098134,694045747,27.37,27.41,27.3,27.36,0.19,4137
2025-09-08,00687B,26302580,732261816,27.57,27.58,27.51,27.56,0.2,4780
2025-09-09,00687B,49234606,1383438021,27.81,27.84,27.76,27.77,0.21,6104
2025-09-10,00687B,35725015,996424552,27.61,27.68,27.5,27.52,-0.25,8820
2025-09-11,00687B,32225414,903182982,27.68,27.81,27.66,27.79,0.27,4656
2025-09-12,00687B,23691965,667776386,27.91,27.93,27.84,27.85,0.06,4619
2025-09-15,00687B,34311711,964301230,27.8,27.84,27.76,27.82,-0.03,5166
2025-09-16,00687B,31865665,885271910,27.91,27.91,27.72,27.78,-0.04,5869
2025-09-17,00687B,24530157,680535672,27.78,27.81,27.69,27.81,0.03,3882
2025-09-18,00687B,26506173,734280939,27.7,27.78,27.67,27.77,-0.04,4769
2025-09-19,00687B,38622224,1061607953,27.51,27.55,27.43,27.46,-0.31,9313
2025-09-22,00687B,24743849,680071612,27.47,27.54,27.45,27.46,0.0,3249
2025-09-23,00687B,21242953,582493113,27.44,27.46,27.38,27.45,-0.01,3906
2025-09-24,00687B,31067571,860434967,27.68,27.75,27.65,27.74,0.29,3694
2025-09-25,00687B,20182833,558691116,27.67,27.72,27.64,27.71,-0.03,2224
2025-09-26,00687B,32650203,905516699,27.73,27.77,27.67,27.68,-0.03,3556
